"","survey_code","rating.variable","excluded","problems","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","main.rating","emot","time.spent","face","female","seen.face.before"
"81351852.3",81351852,"mechanical","","No",21,"c.2.Yr.Coll",0,0,0,0,0,1,0,0,0,100,0,15.967,"3",1,0
"20105010.3",20105010,"human-like","","No",30,"b.HS.only",1,0,0,0,0,0,0,0,0,0,NA,19.07,"3",1,0
"75328488.3",75328488,"human-like","","no",30,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,4,0,11.638,"3",0,0
"51854224.3",51854224,"mechanical","","no",37,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,20,7.077,"3",1,0
"87631866.3",87631866,"human-like","","No. Everything went fine. Thanks. ",44,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,0,8.632,"3",1,0
"65318898.3",65318898,"human-like","","It wouldn't pop up in another screen but besides that it worked fine.",40,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,-10,28.429,"3",1,0
"87693660.3",87693660,"mechanical","","no",39,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,100,-42,14.903,"3",1,0
"55545755.3",55545755,"mechanical","","no.",21,"c.2.Yr.Coll",0,0,0,0,0,0,0,1,0,100,NA,17.064,"3",1,0
"97096318.3",97096318,"human-like","","No issues.  It all ran smooth and was a fun and different type of HIT.",44,"b.HS.only",1,0,0,0,0,0,0,0,0,2,0,10.947,"3",0,0
"61903904.3",61903904,"mechanical","","no",47,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,0,10.465,"3",1,0
"93999607.3",93999607,"mechanical","","none",31,"b.HS.only",1,0,0,0,0,0,0,0,0,100,0,11.116,"3",1,0
"87082835.3",87082835,"human-like","","no",44,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,0,16.553,"3",1,0
"50542028.3",50542028,"human-like","","no",24,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,-55,9.025,"3",0,0
"66511201.3",66511201,"human-like","","No",27,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,50,1,12.965,"3",0,1
"10067756.3",10067756,"mechanical","","",24,"b.HS.only",1,0,0,0,0,0,0,0,0,100,0,23.196,"3",0,0
"10870722.3",10870722,"mechanical","","none",35,"b.HS.only",1,0,0,0,0,0,0,0,0,100,0,15.817,"3",0,0
"21990744.3",21990744,"human-like","","No Technical Problems",26,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,-55,14,"3",0,0
"49204422.3",49204422,"mechanical","","none",34,"d.4.Yr.Coll",0,1,0,0,0,0,0,0,0,85,0,12.126,"3",0,0
